Address,Port,Response Time(ms)
104.19.192.122,443,153.19
104.19.199.117,2083,153.19
104.19.205.51,2053,153.22
104.19.206.23,2096,153.22
104.19.199.235,443,153.22
104.19.193.119,2053,153.22
104.19.201.19,443,153.22
104.19.193.93,2083,153.24
104.19.192.201,2083,153.25
104.19.201.176,8443,153.25
104.19.204.220,8443,153.25
104.19.204.23,2087,153.27
104.19.199.224,2087,153.29
104.19.206.225,2087,153.31
104.19.202.30,2083,153.31
104.19.192.61,2083,153.31
104.19.203.47,2083,153.31
104.19.193.164,443,153.32
104.19.200.156,2096,153.33
104.19.204.164,443,153.34
104.19.205.86,2096,153.35
104.19.194.1,2053,153.35
104.19.194.159,2096,153.35
104.19.203.25,2096,153.37
104.19.197.42,2053,153.38
104.19.200.50,2087,153.39
104.19.202.226,8443,153.40
104.19.199.79,2083,153.40
104.19.192.86,2053,153.41
104.19.206.17,443,153.44
104.19.206.29,2053,153.44
104.19.204.74,2087,153.45
104.19.205.24,2087,153.45
104.19.200.75,2053,153.47
104.19.193.213,2087,153.47
104.19.207.29,2083,153.48
104.19.193.206,443,153.49
104.19.193.144,2083,153.50
104.19.203.195,443,153.50
104.19.203.253,2087,153.51
104.19.205.219,443,153.51
104.19.199.152,2096,153.52
104.19.196.186,2096,153.53
104.19.207.185,2096,153.53
104.19.198.221,2053,153.55
104.19.198.12,443,153.55
104.19.195.174,8443,153.55
104.19.196.81,2053,153.56
104.19.206.238,2083,153.56
104.19.195.8,443,153.57
104.19.193.92,2053,153.57
104.19.194.229,8443,153.58
104.19.192.171,8443,153.61
104.19.206.34,2083,153.61
104.19.198.19,2087,153.64
104.19.204.194,2096,153.65
104.19.206.249,8443,153.66
104.19.206.28,443,153.66
104.19.203.222,2053,153.67
104.19.196.219,2087,153.68
104.19.207.111,443,153.68
104.19.205.236,2083,153.68
104.19.192.7,2096,153.69
104.19.196.51,2053,153.69
104.19.203.71,2053,153.70
104.19.200.76,443,153.70
104.19.193.128,443,153.70
104.19.194.82,443,153.70
104.19.197.123,2053,153.71
104.19.199.182,2096,153.71
104.19.195.121,2083,153.72
104.19.197.103,2087,153.73
104.19.200.19,8443,153.74
104.19.207.176,2096,153.75
104.19.201.56,2087,153.75
104.19.199.143,2087,153.75
104.19.207.97,2087,153.76
104.19.197.214,443,153.77
104.19.192.93,443,153.78
104.19.201.85,2087,153.80
104.19.194.5,2096,153.80
104.19.198.161,8443,153.80
104.19.200.239,2083,153.81
104.19.207.66,8443,153.83
104.19.196.95,443,153.84
104.19.205.240,2053,153.84
104.19.196.244,2053,153.84
104.19.207.27,443,153.86
104.19.201.77,2083,153.88
104.19.193.77,2096,153.88
104.19.206.217,2053,153.88
104.19.206.246,2096,153.88
104.19.193.141,443,153.89
104.19.201.197,8443,153.89
104.19.202.195,2096,153.89
104.19.206.34,2053,153.89
104.19.196.211,2096,153.90
104.19.207.132,2053,153.90
104.19.193.139,2096,153.92
104.19.198.61,2096,153.92
104.19.202.14,2087,153.92
104.19.206.190,2053,153.93
104.19.200.138,2083,153.94
104.19.195.52,2083,153.95
104.19.203.124,2087,153.95
104.19.201.200,443,153.96
104.19.204.81,2096,153.96
104.19.207.217,443,153.97
104.19.202.168,2087,153.99
104.19.196.23,8443,153.99
104.19.196.170,8443,154.02
104.19.192.143,2096,154.02
104.19.199.166,2053,154.03
104.19.192.220,2096,154.03
104.19.195.106,2096,154.03
104.19.197.42,443,154.04
104.19.206.10,2087,154.04
104.19.200.102,2096,154.06
104.19.206.88,2083,154.07
104.19.206.246,443,154.07
104.19.193.128,2053,154.09
104.19.198.60,2083,154.12
104.19.193.120,443,154.13
104.19.194.33,2083,154.13
104.19.193.94,443,154.15
104.19.205.44,443,154.16
104.19.193.192,2096,154.17
104.19.199.225,2053,154.17
104.19.195.220,2096,154.18
104.19.200.252,8443,154.22
104.19.201.113,8443,154.22
104.19.198.54,2053,154.23
104.19.198.46,2083,154.24
104.19.206.4,2053,154.24
104.19.205.173,2087,154.24
104.19.203.121,2053,154.25
104.19.203.215,2087,154.26
104.19.192.114,2053,154.28
104.19.206.29,2096,154.28
104.19.193.9,2096,154.29
104.19.198.162,2096,154.29
104.19.203.93,2087,154.29
104.19.194.1,8443,154.30
104.19.197.154,8443,154.30
104.19.195.229,2083,154.31
104.19.198.140,2096,154.31
104.19.198.128,2083,154.33
104.19.197.70,2053,154.33
104.19.206.212,2087,154.34
104.19.206.159,2083,154.34
104.19.195.57,8443,154.34
104.19.197.183,8443,154.35
104.19.206.6,2096,154.38
104.19.199.170,443,154.38
104.19.195.57,2053,154.39
104.19.192.16,2087,154.40
104.19.198.174,2083,154.41
104.19.192.133,2087,154.41
104.19.195.31,8443,154.41
104.19.203.228,443,154.42
104.19.194.53,443,154.43
104.19.200.127,2087,154.43
104.19.192.82,8443,154.43
104.19.203.101,2087,154.43
104.19.197.25,8443,154.44
104.19.203.101,8443,154.44
104.19.199.219,2083,154.45
104.19.197.16,2096,154.45
104.19.202.108,2096,154.45
104.19.199.95,2053,154.48
104.19.198.84,2053,154.48
104.19.193.49,2083,154.49
104.19.193.49,2096,154.50
104.19.193.223,2096,154.51
104.19.192.114,2087,154.53
104.19.193.229,2053,154.54
104.19.201.7,2087,154.54
104.19.199.218,8443,154.56
104.19.203.177,443,154.56
104.19.202.115,2096,154.56
104.19.202.0,2087,154.56
104.19.193.136,2087,154.56
104.19.192.205,2096,154.57
104.19.193.35,2053,154.57
104.19.196.109,2087,154.58
104.19.201.159,8443,154.58
104.19.193.184,2083,154.59
104.19.206.145,8443,154.59
104.19.199.66,8443,154.59
104.19.202.174,2083,154.59
104.19.193.158,443,154.59
104.19.204.197,2083,154.60
104.19.201.253,8443,154.60
104.19.197.184,2096,154.61
104.19.200.235,2053,154.61
104.19.203.246,443,154.62
104.19.206.238,443,154.66
104.19.205.108,8443,154.67
104.19.207.171,443,154.68
104.19.197.116,2053,154.70
104.19.199.10,2053,154.71
104.19.200.22,443,154.71
104.19.203.153,2087,154.72
104.19.206.216,2083,154.73
104.19.202.108,2083,154.73
104.19.204.18,443,154.73
104.19.204.245,2087,154.74
104.19.203.160,2087,154.75
104.19.202.174,2053,154.75
104.19.204.48,2053,154.76
104.19.202.15,2096,154.76
104.19.192.233,2096,154.77
104.19.194.217,2087,154.79
104.19.205.132,2053,154.79
104.19.207.132,443,154.79
104.19.194.14,2083,154.79
104.19.195.128,2096,154.80
104.19.197.186,2087,154.80
104.19.205.149,2083,154.81
104.19.207.126,2053,154.82
104.19.206.40,2087,154.82
104.19.201.220,443,154.83
104.19.193.220,2087,154.83
104.19.192.195,2096,154.83
104.19.203.157,2083,154.84
104.19.198.162,2083,154.86
104.19.206.233,2096,154.86
104.19.196.197,2096,154.88
104.19.196.112,443,154.88
104.19.204.188,8443,154.90
104.19.205.19,2087,154.90
104.19.203.131,2096,154.91
104.19.207.99,2083,154.92
104.19.193.49,2087,154.92
104.19.207.176,443,154.93
104.19.197.71,2053,154.93
104.19.192.87,2096,154.93
104.19.204.212,2087,154.94
104.19.206.146,2083,154.95
104.19.200.238,2083,154.95
104.19.192.146,2096,154.96
104.19.206.183,2083,154.96
104.19.193.206,2087,154.97
104.19.194.85,2096,154.97
104.19.192.166,2083,154.97
104.19.203.68,2087,154.98
104.19.203.233,2096,154.99
104.19.200.114,8443,155.00
104.19.195.114,443,155.00
104.19.204.151,2096,155.01
104.19.200.133,8443,155.01
104.19.203.107,8443,155.02
104.19.203.174,2053,155.02
104.19.197.23,2087,155.02
104.19.202.215,443,155.03
104.19.204.90,8443,155.04
104.19.203.11,2053,155.04
104.19.205.20,2053,155.04
104.19.192.107,2083,155.05
104.19.205.92,2096,155.06
104.19.195.252,443,155.06
104.19.195.71,2087,155.06
104.19.200.206,2083,155.07
104.19.200.198,2087,155.07
104.19.196.178,2096,155.08
104.19.195.172,2083,155.08
104.19.192.77,2053,155.09
104.19.198.101,2083,155.09
104.19.205.131,8443,155.10
104.19.206.183,443,155.10
104.19.204.33,443,155.10
104.19.204.231,2096,155.10
104.19.200.84,443,155.10
104.19.195.94,443,155.12
104.19.197.224,2083,155.12
104.19.203.12,443,155.12
104.19.195.22,2096,155.13
104.19.204.87,2053,155.13
104.19.202.242,8443,155.14
104.19.206.24,2053,155.14
104.19.198.202,2087,155.14
104.19.206.54,2096,155.14
104.19.200.24,443,155.14
104.19.206.116,443,155.14
104.19.192.114,443,155.15
104.19.194.222,2083,155.16
104.19.197.142,2083,155.18
104.19.196.244,2083,155.18
104.19.196.101,443,155.19
104.19.200.236,2096,155.19
104.19.203.162,8443,155.20
104.19.206.105,443,155.20
104.19.197.102,2053,155.21
104.19.203.83,2087,155.21
104.19.198.41,2096,155.21
104.19.205.86,443,155.22
104.19.203.84,443,155.23
104.19.205.179,2083,155.24
104.19.203.177,2087,155.25
104.19.197.224,443,155.25
104.19.197.194,443,155.26
104.19.207.29,2087,155.26
104.19.202.5,2053,155.26
104.19.203.246,2096,155.26
104.19.201.65,8443,155.26
104.19.194.201,2053,155.26
104.19.194.255,2096,155.27
104.19.192.173,2083,155.27
104.19.196.90,2053,155.27
104.19.195.96,2053,155.28
104.19.193.30,2096,155.28
104.19.198.84,2096,155.28
104.19.196.10,2083,155.30
104.19.204.199,2053,155.30
104.19.202.162,2096,155.31
104.19.195.61,2083,155.31
104.19.199.185,2083,155.31
104.19.193.30,2083,155.31
104.19.193.222,2087,155.32
104.19.199.172,2083,155.32
104.19.194.159,2083,155.32
104.19.205.132,8443,155.33
104.19.199.8,2087,155.34
104.19.204.18,8443,155.34
104.19.194.241,2083,155.34
104.19.193.20,2053,155.34
104.19.193.123,2083,155.34
104.19.203.250,443,155.35
104.19.200.222,2087,155.35
104.19.197.3,8443,155.35
104.19.202.175,2087,155.35
104.19.199.79,8443,155.35
104.19.202.107,2096,155.36
104.19.202.43,8443,155.37
104.19.194.102,2096,155.37
104.19.203.28,8443,155.37
104.19.198.247,443,155.38
104.19.207.185,2087,155.38
104.19.198.138,2083,155.38
104.19.206.128,2096,155.39
104.19.207.75,2087,155.41
104.19.198.51,2096,155.41
104.19.204.41,2083,155.41
104.19.195.44,2053,155.41
104.19.205.80,443,155.42
104.19.206.4,2096,155.42
104.19.195.220,2083,155.42
104.19.197.75,2087,155.44
104.19.195.33,2096,155.44
104.19.196.79,8443,155.44
104.19.201.158,2083,155.45
104.19.206.111,443,155.46
104.19.196.177,8443,155.47
104.19.200.39,2053,155.47
104.19.207.28,2096,155.47
104.19.204.34,2083,155.48
104.19.195.125,443,155.48
104.19.192.244,2096,155.48
104.19.202.99,8443,155.48
104.19.193.223,8443,155.48
104.19.200.233,2087,155.49
104.19.205.131,2087,155.50
104.19.193.149,2053,155.50
104.19.192.210,443,155.50
104.19.206.17,2096,155.51
104.19.203.11,2083,155.51
104.19.206.6,8443,155.52
104.19.194.199,2087,155.52
104.19.197.41,2096,155.53
104.19.206.224,2087,155.53
104.19.198.65,2096,155.54
104.19.203.202,2083,155.54
104.19.199.220,8443,155.55
104.19.207.210,443,155.55
104.19.196.28,2053,155.56
104.19.201.241,8443,155.56
104.19.203.101,2096,155.56
104.19.193.163,2053,155.57
104.19.198.202,8443,155.57
104.19.198.223,443,155.58
104.19.202.4,2053,155.58
104.19.196.93,2096,155.58
104.19.207.126,443,155.59
104.19.197.160,2083,155.59
104.19.192.122,8443,155.59
104.19.207.249,2087,155.59
104.19.193.16,2087,155.59
104.19.193.173,2083,155.60
104.19.196.39,2087,155.61
104.19.195.21,2096,155.61
104.19.207.192,2053,155.61
104.19.205.117,2053,155.61
104.19.203.206,8443,155.62
104.19.198.76,8443,155.62
104.19.203.153,2083,155.62
104.19.205.108,2083,155.63
104.19.206.137,2053,155.63
104.19.199.62,2053,155.63
104.19.206.25,2083,155.64
104.19.205.36,2053,155.64
104.19.192.197,2096,155.65
104.19.199.72,2087,155.65
104.19.197.70,8443,155.65
104.19.205.45,2053,155.66
104.19.206.70,2053,155.66
104.19.194.199,2053,155.67
104.19.196.9,443,155.67
